,LKW (S),Motorrad (L),PKW (S),Transporter (L),Transporter (S),PKW (L),Motorrad (S),Kleintransporter (S),LKW (L),Kleintransporter (L)
2023-01-02 18:50:00+00:00,0,0,35,0,4,0,0,0,0,0
2023-01-02 19:00:00+00:00,0,0,31,0,6,0,0,0,0,0
2023-01-02 19:10:00+00:00,0,0,31,0,2,0,0,0,0,0
2023-01-02 19:20:00+00:00,0,0,27,0,1,0,0,0,0,0
2023-01-02 19:30:00+00:00,0,0,27,0,1,0,0,0,0,0
2023-01-02 19:40:00+00:00,0,0,25,0,9,0,0,0,1,0
2023-01-02 19:50:00+00:00,0,0,31,0,1,0,0,0,0,0
2023-01-02 20:00:00+00:00,0,0,23,0,3,0,0,0,0,0
2023-01-02 20:10:00+00:00,0,0,38,0,0,0,0,0,0,0
2023-01-02 20:20:00+00:00,0,0,26,0,2,0,0,0,0,0
2023-01-02 20:30:00+00:00,0,0,26,0,1,0,0,0,0,0
2023-01-02 20:40:00+00:00,0,0,28,0,0,0,0,0,0,0
2023-01-02 20:50:00+00:00,0,0,23,0,1,0,0,0,0,0
2023-01-02 21:00:00+00:00,0,0,18,0,1,0,0,0,0,0
2023-01-02 21:10:00+00:00,1,0,33,1,3,0,0,0,0,0
2023-01-02 21:20:00+00:00,0,0,20,0,1,0,0,0,0,0
2023-01-02 21:30:00+00:00,0,0,32,0,4,0,0,0,0,0
2023-01-02 21:40:00+00:00,0,0,20,0,1,0,0,0,0,0
2023-01-02 21:50:00+00:00,0,0,21,0,0,0,0,0,0,0
2023-01-02 22:00:00+00:00,0,0,12,0,0,0,0,0,0,0
2023-01-02 22:10:00+00:00,0,0,15,0,0,0,0,0,0,0
2023-01-02 22:20:00+00:00,0,0,3,0,3,0,0,0,0,0
2023-01-02 22:30:00+00:00,0,0,16,0,0,0,0,0,0,0
2023-01-02 22:40:00+00:00,0,0,29,0,0,0,0,0,0,0
2023-01-02 22:50:00+00:00,0,0,24,0,2,0,0,0,0,0
2023-01-02 23:00:00+00:00,0,0,20,0,1,0,0,0,0,0
2023-01-02 23:10:00+00:00,0,0,17,0,2,1,0,0,0,0
2023-01-02 23:20:00+00:00,0,0,5,0,2,0,0,0,0,0
2023-01-02 23:30:00+00:00,0,0,10,0,0,0,0,0,0,0
2023-01-02 23:40:00+00:00,0,0,4,1,2,0,1,0,0,0
2023-01-02 23:50:00+00:00,0,0,3,0,1,0,0,0,0,0
2023-01-03 00:00:00+00:00,0,0,9,0,0,0,0,0,0,0
2023-01-03 00:10:00+00:00,0,0,3,0,1,0,0,0,0,0
